Floor,Building,"Owner Association",Description,"Property Number","Property Type"
,6,1,,6F-A-05,UNIT
,6,1,,7F-A-03,UNIT
,6,1,,7F-A-05,UNIT
,6,1,,9F-A-06,UNIT
,6,1,,GF-R10,UNIT
,6,1,,GF-R11,UNIT
,6,1,,GF-R2,UNIT
,6,1,,P3-A-02,UNIT
,6,1,,P3-A-05,UNIT
,6,1,,P3-B-05,UNIT
,6,1,,11F-B-02,UNIT
,6,1,,13F-B-04,UNIT
,6,1,,14F-B-03,UNIT
,6,1,,14F-B-06,UNIT
,6,1,,15F-B-04,UNIT
,6,1,,16F-B-04,UNIT
,6,1,,1F-B-03,UNIT
,6,1,,5F-B-03,UNIT
,6,1,,6F-B-06,UNIT
,6,1,,7F-B-03,UNIT
,6,1,,9F-B-03,UNIT
,6,1,,10F-B-01,UNIT
,6,1,,P1-41,UNIT
,6,1,,P1-58,UNIT
,6,1,,P1-82,UNIT
,6,1,,P1-117,UNIT
,6,1,,B1-76,UNIT
,6,1,,B1-157,NA
,6,1,,B2-135,NA
,6,1,,P1-38,UNIT
,6,1,,P1-46,UNIT
,6,1,,P1-59,UNIT
,6,1,,P1-123,UNIT
,6,1,,P1-85,NA
,6,1,,B2-110,UNIT
,6,1,,P1-116,UNIT
,6,1,,B1-109,UNIT
,6,1,,B2-126,NA
,6,1,,B2-181,NA
,6,1,,P1-40,UNIT
,6,1,,P1-64,UNIT
,6,1,,B1-113,UNIT
,6,1,,B1-131,UNIT
,6,1,,B3-126,NA
,6,1,,P1-65,UNIT
,6,1,,P1-125,UNIT
,6,1,,B1-1,UNIT
,6,1,,B1-123,UNIT
,6,1,,10F-A-04,UNIT
,6,1,,11F-A-03,UNIT
,6,1,,12F-A-02,UNIT
,6,1,,12F-A-04,UNIT
,6,1,,12F-A-05,UNIT
,6,1,,14F-A-04,UNIT
,6,1,,14F-A-05,UNIT
,6,1,,16F-A-04,UNIT
,6,1,,1F-A-03,UNIT
,6,1,,3F-A-06,UNIT
,6,1,,6F-A-01,UNIT
,6,1,,6F-A-02,UNIT
,6,1,,6F-A-06,UNIT
,6,1,,GF-R8,UNIT
,6,1,,P3-B-07,UNIT
,6,1,,P3-B-09,UNIT
,6,1,,10F-B-02,UNIT
,6,1,,10F-B-03,UNIT
,6,1,,10F-B-04,UNIT
,6,1,,10F-B-06,UNIT
,6,1,,11F-B-04,UNIT
,6,1,,12F-B-01,UNIT
,6,1,,12F-B-03,UNIT
,6,1,,13F-B-05,UNIT
,6,1,,15F-B-02,UNIT
,6,1,,16F-B-02,UNIT
,6,1,,16F-B-06,UNIT
,6,1,,2F-B-01,UNIT
,6,1,,3F-B-06,UNIT
,6,1,,6F-B-01,UNIT
,6,1,,7F-B-05,UNIT
,6,1,,9F-B-02,UNIT
,6,1,,9F-B-05,UNIT
,6,1,,B1-171,UNIT
,6,1,,P1-114,NA
,6,1,,B1-122,UNIT
,6,1,,B2-108,UNIT
,6,1,,B2-114,UNIT
,6,1,,P1-113,NA
,6,1,,B1-149,NA
,6,1,,B1-167,UNIT
,6,1,,P1-93,UNIT
,6,1,,P1-120,UNIT
,6,1,,B1-121,UNIT
,6,1,,B3-172,NA
,6,1,,P1-83,UNIT
,6,1,,P1-103,NA
,6,1,,B2-105,UNIT
,6,1,,B2-107,UNIT
,6,1,,B2-205,UNIT
,6,1,,B2-106,UNIT
,6,1,,P1-54,UNIT
,6,1,,B1-126,UNIT
,6,1,,B1-132,NA
,6,1,,B1-133,UNIT
,6,1,,B1-146,UNIT
,6,1,,B2-109,UNIT
,6,1,,P1-39,UNIT
,6,1,,P1-81,UNIT
,6,1,,11F-A-02,UNIT
,6,1,,13F-A-05,UNIT
,6,1,,16F-A-01,UNIT
,6,1,,4F-A-03,UNIT
,6,1,,4F-A-05,UNIT
,6,1,,5F-A-05,UNIT
,6,1,,5F-A-06,UNIT
,6,1,,7F-A-04,UNIT
,6,1,,GF-R13,UNIT
,6,1,,GF-R3,UNIT
,6,1,,GF-R5,UNIT
,6,1,,GF-R9,UNIT
,6,1,,P3-A-01,UNIT
,6,1,,P3-B-06,UNIT
,6,1,,P3-B-08,UNIT
,6,1,,10F-B-05,UNIT
,6,1,,14F-B-02,UNIT
,6,1,,15F-B-05,UNIT
,6,1,,4F-B-01,UNIT
,6,1,,4F-B-02,UNIT
,6,1,,5F-B-05,UNIT
,6,1,,7F-B-01,UNIT
,6,1,,8F-B-06,UNIT
,6,1,,B1-130,UNIT
,6,1,,P1-53,UNIT
,6,1,,P1-56,UNIT
,6,1,,P2-117,NA
,6,1,,B1-69,UNIT
,6,1,,P1-109,UNIT
,6,1,,B1-125,NA
,6,1,,B1-169,UNIT
,6,1,,B2-112,UNIT
,6,1,,P1-90,UNIT
,6,1,,P1-96,UNIT
,6,1,,B1-5,UNIT
,6,1,,B1-142,UNIT
,6,1,,B1-110,UNIT
,6,1,,B1-117,UNIT
,6,1,,P2-110,UNIT
,6,1,,P1-52,UNIT
,6,1,,10F-A-01,UNIT
,6,1,,10F-A-06,UNIT
,6,1,,12F-A-06,UNIT
,6,1,,13F-A-06,UNIT
,6,1,,14F-A-03,UNIT
,6,1,,15F-A-04,UNIT
,6,1,,16F-A-02,UNIT
,6,1,,4F-A-02,UNIT
,6,1,,5F-A-03,UNIT
,6,1,,6F-A-03,UNIT
,6,1,,6F-A-04,UNIT
,6,1,,7F-A-02,UNIT
,6,1,,9F-A-01,UNIT
,6,1,,9F-A-02,UNIT
,6,1,,P3-A-06,UNIT
,6,1,,P3-A-07,UNIT
,6,1,,15F-B-06,UNIT
,6,1,,3F-B-03,UNIT
,6,1,,3F-B-04,UNIT
,6,1,,5F-B-04,UNIT
,6,1,,6F-B-05,UNIT
,6,1,,7F-B-02,UNIT
,6,1,,9F-B-06,UNIT
,7,1,,306,UNIT
,7,1,,406,UNIT
,7,1,,408,UNIT
,7,1,,412,UNIT
,7,1,,"SHOP NO.04",UNIT
,7,1,,G-14,UNIT
,7,1,,G-18,UNIT
,7,1,,308,UNIT
,7,1,,401,UNIT
,7,1,,404,UNIT
,7,1,,501,UNIT
,7,1,,508,UNIT
,7,1,,613,UNIT
,7,1,,G-23,UNIT
,7,1,,G-15,UNIT
,7,1,,202,UNIT
,7,1,,207,UNIT
,7,1,,212,UNIT
,7,1,,315,UNIT
,7,1,,409,UNIT
,7,1,,411,UNIT
,7,1,,414,UNIT
,7,1,,502,UNIT
,7,1,,505,UNIT
,7,1,,506,UNIT
,7,1,,510,UNIT
,7,1,,515,UNIT
,7,1,,"SHOP NO.03",UNIT
,7,1,,G-12,UNIT
,7,1,,G-13,UNIT
,7,1,,G-16,UNIT
,7,1,,201,UNIT
,7,1,,214,UNIT
,7,1,,312,UNIT
,7,1,,413,UNIT
,7,1,,415,UNIT
,7,1,,509,UNIT
,7,1,,511,UNIT
,7,1,,609,UNIT
,7,1,,G-01,UNIT
,7,1,,G-21,UNIT
,7,1,,203,UNIT
,7,1,,204,UNIT
,7,1,,209,UNIT
,7,1,,211,UNIT
,7,1,,304,UNIT
,7,1,,309,UNIT
,7,1,,512,UNIT
,7,1,,612,UNIT
,7,1,,G-22,UNIT
,7,1,,G-25,UNIT
,7,1,,G-24,UNIT
,7,1,,G-27,UNIT
,7,1,,G-19,UNIT
,7,1,,215,UNIT
,7,1,,301,UNIT
,7,1,,302,UNIT
,7,1,,313,UNIT
,7,1,,403,UNIT
,7,1,,"SHOP NO.01",UNIT
,7,1,,G-17,UNIT
,7,1,,205,UNIT
,7,1,,210,UNIT
,7,1,,303,UNIT
,7,1,,305,UNIT
,7,1,,310,UNIT
,7,1,,314,UNIT
,7,1,,407,UNIT
,7,1,,410,UNIT
,7,1,,504,UNIT
,7,1,,513,UNIT
,7,1,,514,UNIT
,7,1,,606,UNIT
,7,1,,610,UNIT
,7,1,,"SHOP NO.02",UNIT
,7,1,,G-20,UNIT
,7,1,,G-29,UNIT
,7,1,,213,UNIT
,7,1,,307,UNIT
,7,1,,311,UNIT
,7,1,,402,UNIT
,7,1,,405,UNIT
,7,1,,503,UNIT
,7,1,,507,UNIT
,7,1,,607,UNIT
,7,1,,611,UNIT
,7,1,,G-28,UNIT
,7,1,,G-02,UNIT
,7,1,,G-26,UNIT
,8,1,,B2-SR06,UNIT
,8,1,,B3-SR08,UNIT
,8,1,,B2-SR01,UNIT
,8,1,,1002,UNIT
,8,1,,1004,UNIT
,8,1,,109,UNIT
,8,1,,1102,UNIT
,8,1,,1103,UNIT
,8,1,,1104,UNIT
,8,1,,1207,UNIT
,8,1,,1305,UNIT
,8,1,,1402,UNIT
,8,1,,1403,UNIT
,8,1,,1405,UNIT
,8,1,,1505,UNIT
,8,1,,1607,UNIT
,8,1,,1703,UNIT
,8,1,,1706,UNIT
,8,1,,1803,UNIT
,8,1,,2207,UNIT
,8,1,,2306,UNIT
,8,1,,2802,UNIT
,8,1,,2805,UNIT
,8,1,,303,UNIT
,8,1,,407,UNIT
,8,1,,502,UNIT
,8,1,,707,UNIT
,8,1,,801,UNIT
,8,1,,901,UNIT
,8,1,,G02,UNIT
,8,1,,1005,UNIT
,8,1,,104,UNIT
,8,1,,1303,UNIT
,8,1,,1307,UNIT
,8,1,,1407,UNIT
,8,1,,1501,UNIT
,8,1,,1603,UNIT
,8,1,,1806,UNIT
,8,1,,2003,UNIT
,8,1,,2004,UNIT
,8,1,,202,UNIT
,8,1,,203,UNIT
,8,1,,2104,UNIT
,8,1,,2204,UNIT
,8,1,,2301,UNIT
,8,1,,2402,UNIT
,8,1,,2504,UNIT
,8,1,,302,UNIT
,8,1,,306,UNIT
,8,1,,602,UNIT
,8,1,,805,UNIT
,8,1,,G04,UNIT
,8,1,,"SHOP 4",UNIT
,8,1,,B4-SR07,UNIT
,8,1,,B1-SR01,UNIT
,8,1,,B4-SR04,UNIT
,8,1,,B2-SR05,UNIT
,8,1,,1008,UNIT
,8,1,,105,UNIT
,8,1,,1107,UNIT
,8,1,,1604,UNIT
,8,1,,1705,UNIT
,8,1,,1801,UNIT
,8,1,,1907,UNIT
,8,1,,2006,UNIT
,8,1,,2101,UNIT
,8,1,,2102,UNIT
,8,1,,2206,UNIT
,8,1,,2403,UNIT
,8,1,,2502,UNIT
,8,1,,2505,UNIT
,8,1,,2601,UNIT
,8,1,,2704,UNIT
,8,1,,2706,UNIT
,8,1,,304,UNIT
,8,1,,504,UNIT
,8,1,,601,UNIT
,8,1,,605,UNIT
,8,1,,608,UNIT
,8,1,,704,UNIT
,8,1,,902,UNIT
,8,1,,"SHOP 2",UNIT
,8,1,,"SHOP 6",UNIT
,8,1,,B3-SR02,UNIT
,8,1,,G-SR01,UNIT
,8,1,,B2-SR07,UNIT
,8,1,,1106,UNIT
,8,1,,1201,UNIT
,8,1,,1401,UNIT
,8,1,,1506,UNIT
,8,1,,1701,UNIT
,8,1,,1802,UNIT
,8,1,,1807,UNIT
,8,1,,1901,UNIT
,8,1,,1906,UNIT
,8,1,,2202,UNIT
,8,1,,2203,UNIT
,8,1,,2406,UNIT
,8,1,,2503,UNIT
,8,1,,2506,UNIT
,8,1,,2604,UNIT
,8,1,,2703,UNIT
,8,1,,2705,UNIT
,8,1,,2707,UNIT
,8,1,,2904,UNIT
,8,1,,305,UNIT
,8,1,,402,UNIT
,8,1,,604,UNIT
,8,1,,705,UNIT
,8,1,,802,UNIT
,8,1,,904,UNIT
,8,1,,905,UNIT
,8,1,,906,UNIT
,8,1,,G03,UNIT
,8,1,,G06,UNIT
,8,1,,G08,UNIT
,8,1,,"SHOP 5",UNIT
,8,1,,"SHOP 8",UNIT
,8,1,,B4-3,UNIT
,8,1,,B1-SR02,UNIT
,8,1,,B2-SR02,UNIT
,8,1,,B3-SR01,UNIT
,8,1,,106,UNIT
,8,1,,108,UNIT
,8,1,,1304,UNIT
,8,1,,1707,UNIT
,8,1,,1804,UNIT
,8,1,,1902,UNIT
,8,1,,1904,UNIT
,8,1,,2001,UNIT
,8,1,,2005,UNIT
,8,1,,2007,UNIT
,8,1,,2105,UNIT
,8,1,,2205,UNIT
,8,1,,2302,UNIT
,8,1,,2401,UNIT
,8,1,,2407,UNIT
,8,1,,2507,UNIT
,8,1,,2603,UNIT
,8,1,,2606,UNIT
,8,1,,2607,UNIT
,8,1,,2801,UNIT
,8,1,,403,UNIT
,8,1,,505,UNIT
,8,1,,508,UNIT
,8,1,,603,UNIT
,8,1,,607,UNIT
,8,1,,903,UNIT
,8,1,,G05,UNIT
,8,1,,"SHOP 3",UNIT
,8,1,,B3-SR03,UNIT
,8,1,,B3-SR05,UNIT
,8,1,,B4-SR01,UNIT
,8,1,,B4-SR03,UNIT
,8,1,,B2-SR03,UNIT
,8,1,,1003,UNIT
,8,1,,1006,UNIT
,8,1,,107,UNIT
,8,1,,1101,UNIT
,8,1,,1203,UNIT
,8,1,,1302,UNIT
,8,1,,1306,UNIT
,8,1,,1406,UNIT
,8,1,,1503,UNIT
,8,1,,1602,UNIT
,8,1,,1606,UNIT
,8,1,,201,UNIT
,8,1,,2107,UNIT
,8,1,,2201,UNIT
